feature,target_rate_gap,highest_category,highest_category_rate,highest_category_n,lowest_category,lowest_category_rate,lowest_category_n
OCCUPATION_TYPE,0.12272641656225175,Low-skill Laborers,0.17634408602150536,1395,Accountants,0.05361766945925362,6565
ORGANIZATION_TYPE,0.12228076019084524,Transport: type 3,0.16602316602316602,777,University,0.04374240583232078,823
NAME_EDUCATION_TYPE,0.07165144533948525,Lower secondary,0.13132530120481928,1660,Higher education,0.05967385586533403,47525
NAME_HOUSING_TYPE,0.059753334876786024,Rented apartment,0.127114020731042,3666,Office apartment,0.06736068585425597,1633
NAME_TYPE_SUITE,0.05581807839255401,Other_B,0.11208406304728546,1142,nan,0.056265984654731455,782
WALLSMATERIAL_MODE,0.04937890693457358,nan,0.10181680941847422,95387,Monolithic,0.05243790248390064,1087
NAME_FAMILY_STATUS,0.040764084632844186,Civil marriage,0.10963019609985251,18307,Widow,0.06886611146700833,6244
NAME_INCOME_TYPE,0.04025722217008475,Working,0.10277069490127681,105497,State servant,0.06251347273119207,13917
HOUSETYPE_MODE,0.03361119409461931,specific housing,0.11200807265388496,991,block of flats,0.07839687855926565,88677
CODE_GENDER,0.031896756589264316,M,0.11153352733189399,63918,F,0.07963677074262968,120585
FONDKAPREMONT_MODE,0.030251004226982056,nan,0.09654418816722482,127206,org spec account,0.06629318394024276,3213
NAME_CONTRACT_TYPE,0.029503792339273027,Cash loans,0.0937469762941461,165360,Revolving loans,0.06424318395487308,19146
EMERGENCYSTATE_MODE,0.026205752928412124,Yes,0.10490463215258855,1468,No,0.07869887922417643,94042
FLAG_OWN_CAR,0.01805926556816402,N,0.09698988300928432,120095,Y,0.0789306174411203,64411
WEEKDAY_APPR_PROCESS_START,0.005481737258033803,TUESDAY,0.09376450564753211,32315,MONDAY,0.0882827683894983,30357
FLAG_OWN_REALTY,0.0027407447359447945,N,0.09257166698537976,57523,Y,0.08983092224943497,126983
